PMID;Anno;Titolo;Autore DCTV;Autore DSF;Rivista;IF Clarivate
31319868;2019;Ciprofloxacin and levofloxacin attenuate microglia inflammatory response via TLR...;Frigo Anna Chiara;Zusso Morena, Frigo Anna Chiara;Journal of neuroinflammation;9,3
30466070;2018;Lupus anticoagulant identifies two distinct groups of patients with different an...;;Acquasaliente L, De Filippis V;Thrombosis research;3,6
29843429;2018;A Study on Photostability of Amphetamines and Ketamine in Hair Irradiated under ...;Montisci Massimo, Favretto Donata;Miolo Giorgia, Menilli Luca;Brain sciences;2,7
29204052;2017;Pregnane X receptor and constitutive androstane receptor modulate differently CY...;Baldo Vincenzo, Baldovin Tatjana;Gabbia Daniela;World journal of gastroenterology;4,3
27789941;2016;Nanopatterned acellular valve conduits drive the commitment of blood-derived mul...;Iop Laura, Gerosa Gino;Di Liddo Rosa, Conconi Maria Teresa;International journal of nanomedicine;6,6
27760842;2016;Molecular mapping of α-thrombin (αT)/β2-glycoprotein I (β2GpI) interaction revea...;;Acquasaliente Laura, De Filippis Vincenzo;The Biochemical journal;4,4
27153474;2016;Photostability of 6-MAM and morphine exposed to controlled UV irradiation in wat...;Favretto Donata;Miolo Giorgia;Journal of pharmaceutical and biomedical analysis;3,8
24831942;2014;Expression and distribution of the adrenomedullin system in newborn human thymus...;Basso Giuseppe;De Martin Sara, Gabbia Daniela;PloS one;2,9
24473458;2014;Assessment of standardised parenteral nutrition in paediatrics.;Frigo A C;Frigo A C, Bertazzo A;European journal of clinical nutrition;4,4
21206967;2011;Porous alginate/poly(ε-caprolactone) scaffolds: preparation, characterization an...;Giraudo Chiara;Di Liddo Rosa, Conconi Maria Teresa;International journal of molecular medicine;5,0
